AGS,mun_name,municipality_area_m2,landcover_total_area_m2,landcover_area_ratio_to_municipality,artificial_total_area_m2,has_artificial_land
03352020,Hechthausen,30725223.58475256,30725221.504468776,0.9999999322939416,1421361.0129745943,TRUE
03352022,"Hemmoor, Stadt",45172134.43141381,45172131.06969876,0.9999999255798937,3729307.8944910765,TRUE
03352024,Hollnseth,20917479.79926818,20917478.17776845,0.9999999224811141,604653.3573931681,TRUE
01051003,Averlak,9022409.02673614,9022408.482336925,0.9999999396614349,348045.42607470875,TRUE
03352025,Ihlienworth,40295406.99028379,40295403.44062843,0.9999999119091822,891255.9443228068,TRUE
15001000,"Dessau-Roßlau, Stadt",246249161.47121504,246249141.41553307,0.9999999185553289,29972404.81732357,TRUE
14627310,Weinböhla,19096576.775836557,19096575.166241214,0.999999915712886,4821753.165878609,TRUE
14521495,"Pockau-Lengefeld, Stadt",83390314.41918805,83390308.34444578,0.9999999271529036,2803395.903815253,TRUE
12062410,Röderland,46812746.13874429,46812747.16207533,1.0000000218600944,3323570.734397103,TRUE
01051010,Brickeln,6020824.33266283,6020823.843274163,0.9999999187173317,141871.45412751863,TRUE
01051011,"Brunsbüttel, Stadt",49858782.29993694,49858778.56351358,0.9999999250598752,8027947.668021666,TRUE
01051012,Buchholz,14568132.652381137,14568131.492967457,0.999999920414393,568107.9027745053,TRUE
12070008,"Bad Wilsnack, Stadt",79693609.51313046,79693603.60667534,0.9999999258854612,1694086.9037694754,TRUE
15091160,"Kemberg, Stadt",236987026.99163863,236987011.7819906,0.9999999358207567,6983114.162772454,TRUE
16064003,"Bad Langensalza, Stadt",126456585.70906514,126456576.43998547,0.9999999267014872,7472833.267947511,TRUE
16064004,"Bad Tennstedt, Stadt",27498221.084865674,27498218.742025543,0.999999914800302,1338422.8993108503,TRUE
16064005,Ballhausen,14763970.830593009,14763971.401855385,1.0000000386930037,444314.8330514367,TRUE
01058075,Hörsten,4929022.675857492,4929022.382886618,0.9999999405620764,59660.41347932377,TRUE
12061572,Zeuthen,13399174.843686089,13399194.076315954,1.0000014353592732,4001632.763529821,TRUE
15083120,Burgstall,117255764.73535794,117255760.85277133,0.9999999668878828,3952901.2742369156,TRUE
12071301,Neuhausen/Spree / Kopańce/Sprjewja,134615089.8409248,134615078.9911878,0.9999999194017773,8428589.183471631,TRUE
12061112,Eichwalde,2828092.221003644,2828092.718332649,1.000000175853178,1739446.2617835058,TRUE
15083125,Calvörde,106721965.34900965,106721954.69019192,0.9999999001253613,3012981.1927912557,TRUE
14521035,"Aue-Bad Schlema, Stadt",36154219.44081664,36154216.63571849,0.9999999224129799,5593936.540087284,TRUE
14628210,"Königstein/Sächs. Schw., Stadt",27219880.42565963,27219878.71082718,0.9999999370007353,1579649.5711744765,TRUE
14730180,Löbnitz,37261868.98507181,37261865.835138276,0.9999999154649615,2348785.9838823187,TRUE
16075098,"Schleiz, Stadt",108227471.47247495,108227463.30379266,0.9999999245230238,5048554.63798548,TRUE
14627360,Zeithain,81490482.71897905,81490475.26993014,0.9999999085899524,4865213.313417971,TRUE
12062464,Schraden,16521516.535884708,16521515.935479423,0.9999999636591905,423929.43504524155,TRUE
16053000,"Jena, Stadt",114774805.72667123,114774795.89656913,0.9999999143531366,20102442.145851042,TRUE
16064022,Herbsleben,25026925.58213634,25026924.964327745,0.9999999753142433,1449179.3172283275,TRUE
03355003,"Artlenburg, Flecken",11794513.072966393,11794512.057966538,0.9999999139430471,706330.6762783603,TRUE
03355004,"Bardowick, Flecken",23141644.727642484,23141642.78146012,0.9999999159012946,3620712.487678473,TRUE
12062453,Schönborn,38868211.06746749,38868207.59449687,0.9999999106475311,1414263.4301655942,TRUE
15084025,Balgstädt,32846131.485708393,32846129.10844097,0.9999999276241275,775750.3642943176,TRUE
01061101,Sommerland,19092467.343903963,19092465.973983996,0.999999928248144,463572.18165662617,TRUE
16064019,Großvargula,15220881.260040574,15220878.548437811,0.9999998218498183,378851.81359777774,TRUE
12067288,Langewahl,13351545.328581879,13351544.364484703,0.9999999277913416,785626.0375792629,TRUE
01061102,Stördorf,7213693.931522623,7213693.34305807,0.9999999184239644,151451.77321916213,TRUE
01061103,Störkathen,2007457.4293893194,2007457.2089012007,0.9999998901654822,56109.32654981199,TRUE
01061104,Süderau,9143939.494940234,9143938.613598792,0.99999990361469,445692.45718586416,TRUE
01061105,Vaale,14939398.5273491,14939397.35546032,0.9999999215571646,619693.1267425938,TRUE
