AGS,mun_name,municipality_area_m2,class_code,class_name,class_slug,thesis_group,total_area_m2,total_share_of_municipality
12071301,Neuhausen/Spree / Kopańce/Sprjewja,134615089.8409248,1,Artificial Land,artificial_land,artificial,8428589.183471631,0.06261251389745183
12061112,Eichwalde,2828092.221003644,1,Artificial Land,artificial_land,artificial,1739446.2617835058,0.6150599506144125
15083125,Calvörde,106721965.34900965,1,Artificial Land,artificial_land,artificial,3012981.1927912557,0.02823206247128221
14521035,"Aue-Bad Schlema, Stadt",36154219.44081664,1,Artificial Land,artificial_land,artificial,5593936.540087284,0.1547243067782002
14628210,"Königstein/Sächs. Schw., Stadt",27219880.42565963,1,Artificial Land,artificial_land,artificial,1579649.5711744765,0.05803293572463209
14730180,Löbnitz,37261868.98507181,1,Artificial Land,artificial_land,artificial,2348785.9838823187,0.06303457254984475
16075098,"Schleiz, Stadt",108227471.47247495,1,Artificial Land,artificial_land,artificial,5048554.63798548,0.04664762623849582
14627360,Zeithain,81490482.71897905,1,Artificial Land,artificial_land,artificial,4865213.313417971,0.05970284076234669
12062464,Schraden,16521516.535884708,1,Artificial Land,artificial_land,artificial,423929.43504524155,0.02565923256042915
16053000,"Jena, Stadt",114774805.72667123,1,Artificial Land,artificial_land,artificial,20102442.145851042,0.17514681918716296
16064022,Herbsleben,25026925.58213634,1,Artificial Land,artificial_land,artificial,1449179.3172283275,0.05790480786272523
03355003,"Artlenburg, Flecken",11794513.072966393,1,Artificial Land,artificial_land,artificial,706330.6762783603,0.05988637868377162
03355004,"Bardowick, Flecken",23141644.727642484,1,Artificial Land,artificial_land,artificial,3620712.487678473,0.15645873620009232
12062453,Schönborn,38868211.06746749,1,Artificial Land,artificial_land,artificial,1414263.4301655942,0.036386120979705346
15084025,Balgstädt,32846131.485708393,1,Artificial Land,artificial_land,artificial,775750.3642943176,0.02361770866781839
01061101,Sommerland,19092467.343903963,1,Artificial Land,artificial_land,artificial,463572.18165662617,0.024280370541245953
16064019,Großvargula,15220881.260040574,1,Artificial Land,artificial_land,artificial,378851.81359777774,0.02489026798943492
12067288,Langewahl,13351545.328581879,1,Artificial Land,artificial_land,artificial,785626.0375792629,0.05884158112375651
01061102,Stördorf,7213693.931522623,1,Artificial Land,artificial_land,artificial,151451.77321916213,0.020995037307771473
01061103,Störkathen,2007457.4293893194,1,Artificial Land,artificial_land,artificial,56109.32654981199,0.027950444043478812
01061104,Süderau,9143939.494940234,1,Artificial Land,artificial_land,artificial,445692.45718586416,0.048741842335296125
01061105,Vaale,14939398.5273491,1,Artificial Land,artificial_land,artificial,619693.1267425938,0.04148046024799061
03355018,Hittbergen,14698093.731524933,1,Artificial Land,artificial_land,artificial,497371.33584590117,0.03383917295200829
01061106,Vaalermoor,6207260.511938371,1,Artificial Land,artificial_land,artificial,61075.01638186749,0.009839286793973353
03355019,Hohnstorf (Elbe),10238061.126058638,1,Artificial Land,artificial_land,artificial,976597.7528436616,0.09538893554346495
01061109,Westermoor,9368196.88403059,1,Artificial Land,artificial_land,artificial,207363.3306323532,0.02213481774554004
12062461,"Schönewalde, Stadt",156292913.23826408,1,Artificial Land,artificial_land,artificial,5275754.161824533,0.03375555585032698
03355021,Lüdersburg,19133387.653780233,1,Artificial Land,artificial_land,artificial,377363.05769039725,0.019722751899391985
03355022,"Lüneburg, Hansestadt",71074374.91151105,1,Artificial Land,artificial_land,artificial,20463425.727055136,0.287915662326014
