AGS,mun_name,municipality_area_m2,rp,thesis_group,total_area_m2,flooded_area_m2,flooded_landcover_total_area_m2,original_flood_area_m2,flood_share_of_group,share_of_lc_flooded_area,share_of_original_flood_area
12068109,Dreetz,64769278.94313982,rp100,artificial,1221613.8497898083,147656.97949824273,28038437.913366184,28038437.390923414,0.12087042032443288,0.00526623415878148,0.005266234256907703
12068109,Dreetz,64769278.94313982,rp100,open_or_seasonal,20547068.824572504,10882802.370046617,28038437.913366184,28038437.390923414,0.5296523052977626,0.3881386831774492,0.3881386904096728
12068109,Dreetz,64769278.94313982,rp100,perennial_vegetation,42193000.75579566,16272786.858234202,28038437.913366184,28038437.390923414,0.38567503061509467,0.5803742315643345,0.5803742423785007
12068109,Dreetz,64769278.94313982,rp100,water,807588.4456095019,735191.705587123,28038437.913366184,28038437.390923414,0.9103544132955744,0.026220851099434835,0.026220851588010352
12068117,Fehrbellin,269591447.2106543,rp100,artificial,6586117.372696752,199268.63472093848,50100040.089217015,50100039.64469049,0.030255858413186152,0.003977414676037892,0.003977414711328609
12068117,Fehrbellin,269591447.2106543,rp100,open_or_seasonal,143921746.14838886,11753023.760170558,50100040.089217015,50100039.64469049,0.08166259842381803,0.2345911049021326,0.23459110698360738
12068117,Fehrbellin,269591447.2106543,rp100,perennial_vegetation,114664632.65053533,36167896.60008516,50100040.089217015,50100039.64469049,0.31542329804792085,0.721913526130482,0.7219135325358603
12068117,Fehrbellin,269591447.2106543,rp100,water,4418927.579735678,1979851.0942403625,50100040.089217015,50100039.64469049,0.44803881903825843,0.03951795429134764,0.03951795464198168
12068264,"Kyritz, Stadt",157501614.3102262,rp100,artificial,4839319.0107315015,19461.097019769382,3605034.045552531,3605033.930669584,0.004021453633582152,0.005398311575941483,0.005398311747971471
12068264,"Kyritz, Stadt",157501614.3102262,rp100,open_or_seasonal,84471324.87995827,1551177.7577493286,3605034.045552531,3605033.930669584,0.018363364845451386,0.4302810287361891,0.4302810424481135
12068264,"Kyritz, Stadt",157501614.3102262,rp100,perennial_vegetation,62728326.21800812,2029567.633813785,3605034.045552531,3605033.930669584,0.03235488265317582,0.5629815441875308,0.5629815621282714
12068264,"Kyritz, Stadt",157501614.3102262,rp100,water,5462632.774344823,4827.556969647874,3605034.045552531,3605033.930669584,8.837418089534457e-4,0.0013391155003386304,0.0013391155430127184
12068320,"Neuruppin, Stadt",305680186.48266315,rp100,artificial,11669880.738574138,0,298.1506982296594,298.15067797252385,0,0,0
12068320,"Neuruppin, Stadt",305680186.48266315,rp100,open_or_seasonal,122876542.33193165,217.93970967395805,298.1506982296594,298.15067797252385,1.7736478056586928e-6,0.7309716561726229,0.7309717058367459
12068320,"Neuruppin, Stadt",305680186.48266315,rp100,perennial_vegetation,157254735.3873989,0,298.1506982296594,298.15067797252385,0,0,0
12068320,"Neuruppin, Stadt",305680186.48266315,rp100,water,13879021.041655496,80.21098855570136,298.1506982296594,298.15067797252385,5.779297280043158e-6,0.2690283438273771,0.2690283621058652
12068324,"Neustadt (Dosse), Stadt",75627981.3532384,rp100,artificial,2704466.6724089007,108950.47364766835,16412857.513945118,16412857.234739993,0.04028538223790529,0.006638117314739314,0.006638117427662759
12068324,"Neustadt (Dosse), Stadt",75627981.3532384,rp100,open_or_seasonal,38156967.89898435,6599134.0262587005,16412857.513945118,16412857.234739993,0.17294702356143854,0.4020709995594474,0.40207100639922444
12068324,"Neustadt (Dosse), Stadt",75627981.3532384,rp100,perennial_vegetation,34688173.66636622,9702855.936404867,16412857.513945118,16412857.234739993,0.27971654056301015,0.5911740797213937,0.5911740897780725
12068324,"Neustadt (Dosse), Stadt",75627981.3532384,rp100,water,78368.54032949403,1917.0776338819942,16412857.513945118,16412857.234739993,0.024462336874232955,1.1680340441956296e-4,1.1680340640654844e-4
12068409,Sieversdorf-Hohenofen,20001702.714482628,rp100,artificial,678218.120368084,87304.00178564207,7956760.578585059,7956760.42171278,0.12872555180073963,0.010972304736755976,0.010972304953081512
12068409,Sieversdorf-Hohenofen,20001702.714482628,rp100,open_or_seasonal,9391809.470707042,3081976.2725226185,7956760.578585059,7956760.42171278,0.3281557491275,0.3873405818967953,0.38734058953344597
12068409,Sieversdorf-Hohenofen,20001702.714482628,rp100,perennial_vegetation,9913931.480255226,4787480.304276799,7956760.578585059,7956760.42171278,0.48290431639674286,0.6016871133664488,0.6016871252290692
12068409,Sieversdorf-Hohenofen,20001702.714482628,rp100,water,17742.20719472908,0,7956760.578585059,7956760.42171278,0,0,0
12068425,Temnitzquell,65772265.33243796,rp100,artificial,1089636.6390766439,0,4164.2858050588875,4164.286211970776,0,0,0
12068425,Temnitzquell,65772265.33243796,rp100,open_or_seasonal,16267587.961038683,0,4164.2858050588875,4164.286211970776,0,0,0
