AGS,mun_name,municipality_area_m2,rp,class_code,class_name,class_slug,thesis_group,total_area_m2,flooded_area_m2,flood_share_of_class,flooded_landcover_total_area_m2,original_flood_area_m2,flood_area_rp10_m2,flood_area_rp20_m2,flood_area_rp50_m2,flood_area_rp100_m2,flood_area_rp200_m2,flood_area_rp500_m2,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,share_of_lc_flooded_area,share_of_original_flood_area
01058124,Osterrönfeld,17919744.749897826,rp100,1,Artificial Land,artificial_land,artificial,2335050.3782430515,37368.07692735168,0.016003113798113564,477801.5291042235,477801.512335686,477801.512335686,477801.512335686,477801.512335686,477801.512335686,477801.512335686,477801.512335686,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.07820836613354691,0.0782083688782848
16075125,Wilhelmsdorf,9420839.207122868,rp100,1,Artificial Land,artificial_land,artificial,165735.38730411348,0,0,653507.3567637868,653507.2984826226,633051.5207916803,633051.5207916803,633051.5207916803,653507.2984826226,653507.2984826226,653507.2984826226,0.06719693510033006,0.06719693510033006,0.06719693510033006,0.06936826795520738,0.06936826795520738,0.06936826795520738,0,0
16075127,"Ziegenrück, Stadt",8249560.409786124,rp100,1,Artificial Land,artificial_land,artificial,281886.00545908575,148305.4947155517,0.5261186857219752,1024562.6032674611,1024562.636370362,923134.0519433828,973130.7130761952,984553.1344182044,1024562.636370362,1025199.6045466452,1034811.6548349096,0.11190099909424336,0.117961523370604,0.11934613306792304,0.12419602808835298,0.12427324046630311,0.12543839955488462,0.14475005650468456,0.14475005182791165
16076003,"Bad Köstritz, Stadt",20153208.322012063,rp100,1,Artificial Land,artificial_land,artificial,1802398.3361573992,288606.88276616676,0.1601238066949499,2162710.110875084,2162710.18843663,1959974.9233918756,2019956.6108918756,2112460.1226744135,2162710.18843663,2162710.18843663,2162710.18843663,0.09725374203824014,0.10023002683327628,0.10482004100394816,0.10731344378921742,0.10731344378921742,0.10731344378921742,0.13344686433698205,0.13344685955116045
14522440,"Oederan, Stadt",77579600.43018354,rp100,1,Artificial Land,artificial_land,artificial,2816362.856554626,13795.190045413958,0.0048982289385431635,270384.6241584222,270384.64042129245,29170.79952645054,74136.41650745423,210460.96659316745,270384.64042129245,271047.5182364656,282855.372690457,3.76011211255236e-4,9.556174058175518e-4,0.00271283901213912,0.00348525435709894,0.0034937988431687,0.00364600192733665,0.05102061586657073,0.051020612797825195
12073572,"Templin, Stadt",378905948.0809287,rp100,1,Artificial Land,artificial_land,artificial,11946703.244936477,113083.89482990421,0.009465698821792864,4898296.459562959,4898296.406218995,2453067.597997388,2772654.187841138,3699865.4433283694,4898296.406218995,5587388.940398683,6296458.812468994,0.00647408046883826,0.00731752616152898,0.00976460111557323,0.01292747298116521,0.01474611039678189,0.01661747155028604,0.023086372122114042,0.02308637237353178
01058140,Schacht-Audorf,6283014.522038246,rp100,1,Artificial Land,artificial_land,artificial,1738990.1312911743,59022.951939675084,0.03394093553357397,858767.2143582397,858767.2998650385,858767.2998650385,858767.2998650385,858767.2998650385,858767.2998650385,858767.2998650385,858767.2998650385,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.13668077590029976,0.0687298617749202,0.0687298549315408
01058148,Schülp b. Rendsburg,8028885.458245777,rp100,1,Artificial Land,artificial_land,artificial,456124.84607274196,16530.534046798686,0.03624124883598739,603901.3996515423,603901.4569954138,37286.27115866326,147513.71730474493,390142.3277818841,603901.4569954138,613909.0614876013,623916.6659797888,0.00464401582916714,0.01837287604511113,0.04859233947361929,0.07521610068246752,0.07646255070896647,0.07770900073546542,0.027372902358459485,0.027372899759247022
03360002,"Bad Bevensen, Stadt",48165364.50427336,rp100,1,Artificial Land,artificial_land,artificial,3785478.8516011564,367877.09990873456,0.09718112670293545,3582763.773113243,3582763.653892794,3240699.9158575833,3310737.143396646,3322629.3091662317,3582763.653892794,3686053.3812232055,3790284.3568508136,0.06728278606860869,0.06873688546679446,0.06898378831683998,0.07438464736574187,0.076529128745536,0.07869315214077803,0.10267969735249045,0.10267970076927169
03360004,Bienenbüttel,99544191.18334588,rp100,1,Artificial Land,artificial_land,artificial,2885428.1897994485,346323.52130932914,0.12002500098032255,3361725.406363953,3361725.263910976,2811420.8820750383,3161615.334223476,3231654.1574656633,3361725.263910976,3571023.380803197,3720844.318273202,0.02824294264340157,0.03176092242690728,0.03246451770865693,0.03377118467635312,0.03587374952121408,0.03737881913591472,0.10301957460705072,0.10301957897250118
