Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension
a_pend150,Pendler mit Arbeitsweg 150 km und mehr,834,1,99.88,2023,2023,Anteil der SV Beschäftigten mit einem Arbeitsweg von 150 km und mehr am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,"Health, services and accessibility"
a_pend300,Pendler mit Arbeitsweg 300 km und mehr,834,1,99.88,2023,2023,Anteil der SV Beschäftigten mit einem Arbeitsweg von 300 km und mehr am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,"Health, services and accessibility"
a_pend50,Pendler mit Arbeitsweg 50 km und mehr,834,1,99.88,2023,2023,Anteil der SV Beschäftigten mit einem Arbeitsweg von 50 km und mehr am Wohnort in %,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,"Health, services and accessibility"
a_suv_fl,Siedlungs- und Verkehrsfläche,834,1,99.88,2023,2023,Anteil der Siedlungs- und Verkehrsfläche an der Fläche in %,Flächennutzung,(no sub-dimension),Housing and land-use context
a_wald,Waldfläche,834,1,99.88,2023,2023,Anteil Waldfläche an der Fläche in %,Flächennutzung,(no sub-dimension),Housing and land-use context
a_wasser,Wasserfläche,834,1,99.88,2023,2023,Anteil Wasserfläche an der Fläche in %,Flächennutzung,(no sub-dimension),Housing and land-use context
a_wg_wo12,Ein- und Zweifamilienhäuser,834,1,99.88,2023,2023,Anteil der Wohngebäude mit 1 und 2 Wohnungen an den Wohngebäuden in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,Housing and land-use context
a_wg_wo3um,Mehrfamilienhäuser,834,1,99.88,2023,2023,Anteil der Wohngebäude mit 3 und mehr Wohnungen an den Wohngebäuden in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,Housing and land-use context
a_wo_r12,Ein- und Zweiraumwohnungen,834,1,99.88,2023,2023,Anteil der Wohnungen mit 1 und 2 Räumen an den Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,Housing and land-use context
a_wo_r5um,5- und mehr Raum-Wohnungen,834,1,99.88,2023,2023,Anteil der Wohnungen mit 5 und mehr Räumen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,Housing and land-use context
