AGS,mun_name,municipality_area_m2,monotonicity_observed_ok,suspicious_any,monotone_adjustment_applied,flood_share_rp10_obs,flood_share_rp20_obs,flood_share_rp50_obs,flood_share_rp100_obs,flood_share_rp200_obs,flood_share_rp500_obs,flood_share_rp10_adj,flood_share_rp20_adj,flood_share_rp50_adj,flood_share_rp100_adj,flood_share_rp200_adj,flood_share_rp500_adj,onset_rp_any,onset_rp_1pct,onset_rp_5pct,slope_logrp,slope_norm_logrp,normalized_auc,realized_by_rp50,realized_by_rp100,late_growth_share,jump_rp10_rp20,jump_rp20_rp50,jump_rp50_rp100,jump_rp100_rp200,jump_rp200_rp500,max_jump_interval,max_jump_abs,max_jump_rel,low_signal_flag,exposure_curve_type
12067397,Ragow-Merz,38032358.61743702,TRUE,FALSE,FALSE,0.01523910625784804,0.01523910625784804,0.01605137269730801,0.01605137269730801,0.01605137269730801,0.0168363561535709,0.01523910625784804,0.01523910625784804,0.01605137269730801,0.01605137269730801,0.01605137269730801,0.0168363561535709,10,10,NA,8.981175162740056e-4,0.05334393666194301,0.9446377181094957,0.9533756919191569,0.9533756919191569,0.0466243080808431,0,8.122664394599709e-4,0,0,7.849834562628881e-4,RP20-RP50,8.122664394599709e-4,0.04824478836459477,TRUE,early exposure
12066064,Frauendorf,20809430.093916778,TRUE,FALSE,FALSE,0.01402901237905738,0.01648943697607877,0.01678982222228945,0.01678982222228945,0.0168273640438321,0.02266190957682311,0.01402901237905738,0.01648943697607877,0.01678982222228945,0.01678982222228945,0.0168273640438321,0.02266190957682311,10,10,NA,0.003796386411778783,0.1675227940924026,0.7580500432878265,0.7408829412796181,0.7408829412796181,0.259117058720382,0.00246042459702139,3.0038524621068055e-4,0,3.754182154264846e-5,0.0058345455329910124,RP200-RP500,0.0058345455329910124,0.25746045421336183,FALSE,early exposure
12061265,Krausnick-Groß Wasserburg,54671599.66240399,TRUE,FALSE,FALSE,0.0089346103143946,0.01744952607534343,0.02080487413077869,0.02084983530371448,0.02084983530371448,0.02100018214713985,0.0089346103143946,0.01744952607534343,0.02080487413077869,0.02084983530371448,0.02084983530371448,0.02100018214713985,10,20,NA,0.0059625441029713035,0.2839282088695303,0.9096656405850756,0.9906996989362894,0.9928406886010821,0.007159311398917891,0.00851491576094883,0.0033553480554352616,4.49611729357903e-5,0,1.5034684342537033e-4,RP10-RP20,0.00851491576094883,0.40546866219008154,FALSE,early exposure
15084170,Goseck,14465217.502377346,TRUE,FALSE,FALSE,0.00805333109389432,0.01194939504814741,0.01194939504814741,0.01194939504814741,0.01565662971104669,0.01565662971104669,0.00805333109389432,0.01194939504814741,0.01194939504814741,0.01194939504814741,0.01565662971104669,0.01565662971104669,10,20,NA,0.004111935704679294,0.26263223826377374,0.8176083147320159,0.7632163031687718,0.7632163031687718,0.2367836968312282,0.0038960639542530897,0,0,0.003707234662899279,0,RP10-RP20,0.0038960639542530897,0.2488443570651852,TRUE,early exposure
01058119,Oldenbüttel,4571073.039308612,TRUE,FALSE,FALSE,0,0,5.115814049974159e-4,0.00982811266292275,0.02064606062450626,0.02064606062450626,0,0,5.115814049974159e-4,0.00982811266292275,0.02064606062450626,0.02064606062450626,50,200,NA,0.014609385953191468,0.7076113074980784,0.41225779026467685,0.024778644909633947,0.47602847059632636,0.5239715294036736,0,5.115814049974159e-4,0.009316531257925333,0.01081794796158351,0,RP100-RP200,0.01081794796158351,0.5239715294036736,FALSE,delayed jump
14522420,Niederwiesa,16579992.672688616,TRUE,FALSE,FALSE,0.10607206596230125,0.11209639421932804,0.1199279729852571,0.1290775294676065,0.13329453518096232,0.1363066854679625,0.10607206596230125,0.11209639421932804,0.1199279729852571,0.1290775294676065,0.13329453518096232,0.1363066854679625,10,10,10,0.01891349021597053,0.1387568786596014,0.9051523711323781,0.8798392578729746,0.9469640393973549,0.05303596060264518,0.006024328257026798,0.007831578765929062,0.0091495564823494,0.004217005713355815,0.0030121502870001926,RP50-RP100,0.0091495564823494,0.06712478152438024,FALSE,early exposure
16075134,Remptendorf,97380292.82756546,TRUE,FALSE,FALSE,0.00578783711913514,0.00642557759914398,0.00651364843553805,0.00651364843553805,0.00660979109968176,0.00670000466493459,0.00578783711913514,0.00642557759914398,0.00651364843553805,0.00651364843553805,0.00660979109968176,0.00670000466493459,10,NA,NA,4.3079281026504917e-4,0.06429738960028851,0.966093716626823,0.9721856567694854,0.9721856567694854,0.02781434323051457,6.377404800088403e-4,8.807083639407031e-5,0,9.614266414370923e-5,9.021356525283023e-5,RP10-RP20,6.377404800088403e-4,0.09518507999651764,TRUE,early exposure
16075135,"Saalburg-Ebersdorf, Stadt",71989502.31522453,TRUE,FALSE,FALSE,0.06367873188731314,0.06367873188731314,0.06655747867747282,0.06697415827207923,0.06890827271053432,0.07196392437777631,0.06367873188731314,0.06367873188731314,0.06655747867747282,0.06697415827207923,0.06890827271053432,0.07196392437777631,10,10,10,0.004910526742073189,0.0682359499503565,0.9296440243081636,0.9248728338949078,0.9306629516269403,0.06933704837305965,0,0.0028787467901596753,4.166795946064089e-4,0.0019341144384550923,0.0030556516672419903,RP200-RP500,0.0030556516672419903,0.0424608815272674,FALSE,early exposure
16075136,Rosenthal am Rennsteig,51856705.8725284,TRUE,FALSE,FALSE,0.01851247826684814,0.02278033612503135,0.02721223847419136,0.02860748452285945,0.03056910587744521,0.03255249916577548,0.01851247826684814,0.02278033612503135,0.02721223847419136,0.02860748452285945,0.03056910587744521,0.03255249916577548,10,10,NA,0.00805054105391359,0.24730946195300538,0.8322861873339683,0.8359492871994701,0.8788106982869175,0.12118930171308255,0.004267857858183212,0.004431902349160008,0.0013952460486680897,0.0019616213545857603,0.001983393288330273,RP20-RP50,0.004431902349160008,0.1361463009826155,FALSE,early exposure
01058124,Osterrönfeld,17919744.749897826,TRUE,FALSE,FALSE,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,0.02666341061238667,10,10,NA,0,0,1,1,1,0,0,0,0,0,0,NA,0,0,FALSE,early exposure
