inkar_code,state,municipalities_with_value,municipalities_total,state_coverage_pct
q_abhg_jung,03,942,964,97.7178423236515
q_abhg_jung,04,2,2,100
q_abhg_jung,05,396,396,100
q_abhg_jung,06,421,425,99.0588235294118
q_abhg_jung,07,2301,2301,100
q_abhg_jung,08,1102,1103,99.909338168631
q_abhg_jung,09,2056,2228,92.2800718132855
q_abhg_jung,10,52,52,100
q_abhg_jung,11,1,1,100
q_abhg_jung,12,413,413,100
q_abhg_jung,13,726,726,100
q_abhg_jung,14,418,418,100
q_abhg_jung,15,218,218,100
q_abhg_jung,16,624,624,100
q_allgemeinärzte_bev,01,1104,1106,99.8191681735986
q_allgemeinärzte_bev,02,1,1,100
q_allgemeinärzte_bev,03,941,964,97.6141078838174
q_allgemeinärzte_bev,04,2,2,100
q_allgemeinärzte_bev,05,396,396,100
q_allgemeinärzte_bev,06,421,425,99.0588235294118
q_allgemeinärzte_bev,07,2301,2301,100
q_allgemeinärzte_bev,08,1101,1103,99.818676337262
q_allgemeinärzte_bev,09,2056,2228,92.2800718132855
q_allgemeinärzte_bev,10,52,52,100
q_allgemeinärzte_bev,11,1,1,100
q_allgemeinärzte_bev,12,413,413,100
q_allgemeinärzte_bev,13,726,726,100
q_allgemeinärzte_bev,14,418,418,100
q_allgemeinärzte_bev,15,218,218,100
q_allgemeinärzte_bev,16,624,624,100
q_alo_u25_einw,01,1104,1106,99.8191681735986
q_alo_u25_einw,02,1,1,100
q_alo_u25_einw,03,941,964,97.6141078838174
q_alo_u25_einw,04,2,2,100
q_alo_u25_einw,05,396,396,100
q_alo_u25_einw,06,421,425,99.0588235294118
q_alo_u25_einw,07,2301,2301,100
q_alo_u25_einw,08,1102,1103,99.909338168631
q_alo_u25_einw,09,2056,2228,92.2800718132855
q_alo_u25_einw,10,52,52,100
q_alo_u25_einw,11,1,1,100
q_alo_u25_einw,12,413,413,100
q_alo_u25_einw,13,726,726,100
q_alo_u25_einw,14,418,418,100
q_alo_u25_einw,15,218,218,100
q_alo_u25_einw,16,624,624,100
q_alo_ü55_einw,01,1104,1106,99.8191681735986
q_alo_ü55_einw,02,1,1,100
q_alo_ü55_einw,03,942,964,97.7178423236515
q_alo_ü55_einw,04,2,2,100
q_alo_ü55_einw,05,396,396,100
q_alo_ü55_einw,06,421,425,99.0588235294118
q_alo_ü55_einw,07,2301,2301,100
q_alo_ü55_einw,08,1102,1103,99.909338168631
q_alo_ü55_einw,09,2056,2228,92.2800718132855
q_alo_ü55_einw,10,52,52,100
q_alo_ü55_einw,11,1,1,100
q_alo_ü55_einw,12,413,413,100
q_alo_ü55_einw,13,726,726,100
q_alo_ü55_einw,14,418,418,100
q_alo_ü55_einw,15,218,218,100
q_alo_ü55_einw,16,624,624,100
q_bev_fl,01,1106,1106,100
q_bev_fl,02,1,1,100
q_bev_fl,03,964,964,100
q_bev_fl,04,2,2,100
q_bev_fl,05,396,396,100
q_bev_fl,06,425,425,100
q_bev_fl,07,2301,2301,100
q_bev_fl,08,1103,1103,100
q_bev_fl,09,2228,2228,100
q_bev_fl,10,52,52,100
q_bev_fl,11,1,1,100
q_bev_fl,12,413,413,100
q_bev_fl,13,726,726,100
q_bev_fl,14,418,418,100
q_bev_fl,15,218,218,100
q_bev_fl,16,624,624,100
q_bevsva_qkm,01,1106,1106,100
q_bevsva_qkm,02,1,1,100
q_bevsva_qkm,03,964,964,100
q_bevsva_qkm,04,2,2,100
q_bevsva_qkm,05,396,396,100
q_bevsva_qkm,06,425,425,100
q_bevsva_qkm,07,2301,2301,100
q_bevsva_qkm,08,1103,1103,100
q_bevsva_qkm,09,2228,2228,100
q_bevsva_qkm,10,52,52,100
q_bevsva_qkm,11,1,1,100
q_bevsva_qkm,12,413,413,100
q_bevsva_qkm,13,726,726,100
q_bevsva_qkm,14,418,418,100
q_bevsva_qkm,15,218,218,100
