AGS,municipality_name,pop_total,protection_available,protection_status,loss_portfolio_status,provider_interpretation,protection_return_period,annual_loss_probability,n_nonzero_years
15083440,Rogätz,2193,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,76.92307692307692,0.013,65
15083565,Wolmirstedt,12281,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,50.505050505050505,0.0198,99
15083580,Zielitz,1926,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,166.66666666666666,0.006,30
15084025,Balgstädt,1064,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,2500,4e-4,2
15084130,Elsteraue,7806,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,94.33962264150944,0.0106,53
15084135,Freyburg (Unstrut),4420,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,18.939393939393938,0.0528,264
15084207,Gutenborn,1740,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,33.333333333333336,0.03,150
15084246,Kaiserpfalz,1598,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,79.36507936507937,0.0126,63
15084250,Karsdorf,1443,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,384.61538461538464,0.0026,13
15084275,Kretzschau,2336,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,57.47126436781609,0.0174,87
15084285,Laucha an der Unstrut,2702,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,17.421602787456447,0.0574,287
15084355,Naumburg (Saale),32207,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,454.54545454545456,0.0022,11
